"Story","Title","Result","Date","Stability","Duration (s)"
"Test login","Test login usuario vacío","SUCCESS","2020-05-19T11:22:57.474-03:00[America/Buenos_Aires]","0.0","17.64"
"Test login","Test login correcto","SUCCESS","2020-05-20T16:06:16.147-03:00[America/Buenos_Aires]","0.0","34.85"
"Test discador","Test detalles de la campaña","SUCCESS","2020-06-01T17:47:30.386-03:00[America/Buenos_Aires]","0.0","23.63"
"Test discador","Test crear campaña sel calendario","SUCCESS","2020-06-09T14:40:58.368-03:00[America/Buenos_Aires]","0.0","27.19"
"Test discador","Test crear campaña","SUCCESS","2020-06-10T14:29:53.268-03:00[America/Buenos_Aires]","0.0","38.02"
