"Story","Title","Result","Date","Stability","Duration (s)"
"Test login","Test login contraseña vacío","FAILURE","2020-05-19T11:22:25.893-03:00[America/Buenos_Aires]","0.0","29.1"
"Test discador","Test pausar campaña","FAILURE","2020-05-28T17:53:49.573-03:00[America/Buenos_Aires]","0.0","1064.27"
